dataset,n_samples,n_features,schedule_id,curve_id,curve_label,display_order,effective_k,tree_count,depth_1_trees,depth_2_trees,depth_3_trees,fit_time_s,accuracy
confidence,72,3,mix_2_95_3_05_T40,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,40,0,38,2,4.37084734834265,0.7777777777777778
confidence,72,3,mix_2_95_3_05_T60,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,60,0,57,3,6.556271022513974,0.7777777777777778
confidence,72,3,mix_2_95_3_05_T100,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,100,0,95,5,10.927118370856624,0.7777777777777778
confidence,72,3,mix_2_95_3_05_T200,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,200,0,190,10,21.854236741713247,0.8333333333333334
confidence,72,3,pure_k3_T20,pure_k3,k=3,8,3.0,20,0,0,20,24.9485707832966,0.8333333333333334
confidence,72,3,pure_k3_T40,pure_k3,k=3,8,3.0,40,0,0,40,49.8971415665932,0.8333333333333334
confidence,72,3,pure_k3_T60,pure_k3,k=3,8,3.0,60,0,0,60,74.8457123498898,0.8333333333333334
confidence,72,3,pure_k3_T100,pure_k3,k=3,8,3.0,100,0,0,100,124.742853916483,0.8333333333333334
confidence,72,3,pure_k3_T200,pure_k3,k=3,8,3.0,200,0,0,200,249.485707832966,0.8333333333333334
analcatdata_asbestos,83,3,pure_k1_T20,pure_k1,k=1,0,1.0,20,20,0,0,0.028781400015577673,0.6666666666666666
analcatdata_asbestos,83,3,pure_k1_T40,pure_k1,k=1,0,1.0,40,40,0,0,0.057562800031155346,0.6666666666666666
analcatdata_asbestos,83,3,pure_k1_T60,pure_k1,k=1,0,1.0,60,60,0,0,0.08634420004673302,0.6666666666666666
analcatdata_asbestos,83,3,pure_k1_T100,pure_k1,k=1,0,1.0,100,100,0,0,0.14390700007788837,0.6666666666666666
analcatdata_asbestos,83,3,pure_k1_T200,pure_k1,k=1,0,1.0,200,200,0,0,0.28781400015577674,0.6666666666666666
analcatdata_asbestos,83,3,mix_1_95_2_05_T20,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,20,19,1,0,0.033540315013378855,0.6666666666666666
analcatdata_asbestos,83,3,mix_1_95_2_05_T40,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,40,38,2,0,0.06708063002675771,0.6666666666666666
analcatdata_asbestos,83,3,mix_1_95_2_05_T60,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,60,57,3,0,0.10062094504013658,0.6666666666666666
analcatdata_asbestos,83,3,mix_1_95_2_05_T100,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,100,95,5,0,0.1677015750668943,0.6666666666666666
analcatdata_asbestos,83,3,mix_1_95_2_05_T200,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,200,190,10,0,0.3354031501337886,0.6666666666666666
analcatdata_asbestos,83,3,mix_1_90_2_10_T20,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,20,18,2,0,0.03829923001118005,0.6666666666666666
analcatdata_asbestos,83,3,mix_1_90_2_10_T40,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,40,36,4,0,0.0765984600223601,0.6666666666666666
analcatdata_asbestos,83,3,mix_1_90_2_10_T60,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,60,54,6,0,0.11489769003354014,0.6666666666666666
analcatdata_asbestos,83,3,mix_1_90_2_10_T100,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,100,90,10,0,0.1914961500559002,0.6666666666666666
analcatdata_asbestos,83,3,mix_1_90_2_10_T200,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,200,180,20,0,0.3829923001118004,0.6666666666666666
analcatdata_asbestos,83,3,mix_1_95_3_05_T20,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,20,19,0,1,0.10724019709508865,0.6666666666666666
analcatdata_asbestos,83,3,mix_1_95_3_05_T40,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,40,38,0,2,0.2144803941901773,0.6666666666666666
analcatdata_asbestos,83,3,mix_1_95_3_05_T60,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,60,57,0,3,0.321720591285266,0.6666666666666666
analcatdata_asbestos,83,3,mix_1_95_3_05_T100,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,100,95,0,5,0.5362009854754433,0.6666666666666666
analcatdata_asbestos,83,3,mix_1_95_3_05_T200,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,200,190,0,10,1.0724019709508865,0.6666666666666666
analcatdata_asbestos,83,3,mix_1_75_2_25_T20,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,20,15,5,0,0.052575975004583594,0.6666666666666666
analcatdata_asbestos,83,3,mix_1_75_2_25_T40,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,40,30,10,0,0.10515195000916719,0.6666666666666666
analcatdata_asbestos,83,3,mix_1_75_2_25_T60,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,60,45,15,0,0.1577279250137508,0.6666666666666666
analcatdata_asbestos,83,3,mix_1_75_2_25_T100,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,100,75,25,0,0.262879875022918,0.6666666666666666
analcatdata_asbestos,83,3,mix_1_75_2_25_T200,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,200,150,50,0,0.525759750045836,0.6666666666666666
analcatdata_asbestos,83,3,mix_1_50_2_50_T20,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,20,10,10,0,0.07637054999358951,0.6666666666666666
analcatdata_asbestos,83,3,mix_1_50_2_50_T40,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,40,20,20,0,0.15274109998717902,0.6666666666666666
analcatdata_asbestos,83,3,mix_1_50_2_50_T60,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,60,30,30,0,0.22911164998076855,0.6666666666666666
analcatdata_asbestos,83,3,mix_1_50_2_50_T100,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,100,50,50,0,0.3818527499679476,0.6666666666666666
analcatdata_asbestos,83,3,mix_1_50_2_50_T200,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,200,100,100,0,0.7637054999358952,0.6666666666666666
analcatdata_asbestos,83,3,pure_k2_T20,pure_k2,k=2,6,2.0,20,0,20,0,0.12395969997160136,0.6666666666666666
analcatdata_asbestos,83,3,pure_k2_T40,pure_k2,k=2,6,2.0,40,0,40,0,0.24791939994320272,0.6666666666666666
analcatdata_asbestos,83,3,pure_k2_T60,pure_k2,k=2,6,2.0,60,0,60,0,0.3718790999148041,0.6666666666666666
analcatdata_asbestos,83,3,pure_k2_T100,pure_k2,k=2,6,2.0,100,0,100,0,0.6197984998580068,0.6666666666666666
analcatdata_asbestos,83,3,pure_k2_T200,pure_k2,k=2,6,2.0,200,0,200,0,1.2395969997160137,0.6666666666666666
analcatdata_asbestos,83,3,mix_2_95_3_05_T20,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,20,0,19,1,0.19765958205331116,0.6666666666666666
analcatdata_asbestos,83,3,mix_2_95_3_05_T40,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,40,0,38,2,0.3953191641066223,0.6666666666666666
analcatdata_asbestos,83,3,mix_2_95_3_05_T60,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,60,0,57,3,0.5929787461599335,0.6666666666666666
analcatdata_asbestos,83,3,mix_2_95_3_05_T100,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,100,0,95,5,0.9882979102665559,0.6666666666666666
analcatdata_asbestos,83,3,mix_2_95_3_05_T200,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,200,0,190,10,1.9765958205331118,0.6666666666666666
analcatdata_asbestos,83,3,pure_k3_T20,pure_k3,k=3,8,3.0,20,0,0,20,1.5979573416057975,0.6666666666666666
analcatdata_asbestos,83,3,pure_k3_T40,pure_k3,k=3,8,3.0,40,0,0,40,3.195914683211595,0.6666666666666666
analcatdata_asbestos,83,3,pure_k3_T60,pure_k3,k=3,8,3.0,60,0,0,60,4.793872024817392,0.6666666666666666
analcatdata_asbestos,83,3,pure_k3_T100,pure_k3,k=3,8,3.0,100,0,0,100,7.989786708028987,0.6666666666666666
