dataset,n_samples,n_features,schedule_id,curve_id,curve_label,display_order,effective_k,tree_count,depth_1_trees,depth_2_trees,depth_3_trees,fit_time_s,accuracy
analcatdata_boxing1,120,3,pure_k1_T20,pure_k1,k=1,0,1.0,20,20,0,0,0.020029583293944598,0.8
analcatdata_boxing1,120,3,pure_k1_T40,pure_k1,k=1,0,1.0,40,40,0,0,0.040059166587889196,0.8
analcatdata_boxing1,120,3,pure_k1_T60,pure_k1,k=1,0,1.0,60,60,0,0,0.06008874988183379,0.8
analcatdata_boxing1,120,3,pure_k1_T100,pure_k1,k=1,0,1.0,100,100,0,0,0.10014791646972299,0.8333333333333334
analcatdata_boxing1,120,3,pure_k1_T200,pure_k1,k=1,0,1.0,200,200,0,0,0.20029583293944597,0.8333333333333334
analcatdata_boxing1,120,3,mix_1_95_2_05_T20,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,20,19,1,0,0.03388514204416424,0.8
analcatdata_boxing1,120,3,mix_1_95_2_05_T40,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,40,38,2,0,0.06777028408832848,0.8
analcatdata_boxing1,120,3,mix_1_95_2_05_T60,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,60,57,3,0,0.10165542613249272,0.8666666666666667
analcatdata_boxing1,120,3,mix_1_95_2_05_T100,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,100,95,5,0,0.1694257102208212,0.8666666666666667
analcatdata_boxing1,120,3,mix_1_95_2_05_T200,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,200,190,10,0,0.3388514204416424,0.8333333333333334
analcatdata_boxing1,120,3,mix_1_90_2_10_T20,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,20,18,2,0,0.04774070079438389,0.8
analcatdata_boxing1,120,3,mix_1_90_2_10_T40,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,40,36,4,0,0.09548140158876778,0.8
analcatdata_boxing1,120,3,mix_1_90_2_10_T60,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,60,54,6,0,0.14322210238315164,0.8666666666666667
analcatdata_boxing1,120,3,mix_1_90_2_10_T100,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,100,90,10,0,0.23870350397191942,0.8333333333333334
analcatdata_boxing1,120,3,mix_1_90_2_10_T200,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,200,180,20,0,0.47740700794383883,0.8333333333333334
analcatdata_boxing1,120,3,mix_1_95_3_05_T20,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,20,19,0,1,0.07873449017060921,0.8
analcatdata_boxing1,120,3,mix_1_95_3_05_T40,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,40,38,0,2,0.15746898034121842,0.8
analcatdata_boxing1,120,3,mix_1_95_3_05_T60,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,60,57,0,3,0.2362034705118276,0.8666666666666667
analcatdata_boxing1,120,3,mix_1_95_3_05_T100,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,100,95,0,5,0.39367245085304603,0.8666666666666667
analcatdata_boxing1,120,3,mix_1_95_3_05_T200,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,200,190,0,10,0.7873449017060921,0.8333333333333334
analcatdata_boxing1,120,3,mix_1_75_2_25_T20,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,20,15,5,0,0.08930737704504281,0.8666666666666667
analcatdata_boxing1,120,3,mix_1_75_2_25_T40,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,40,30,10,0,0.17861475409008562,0.8
analcatdata_boxing1,120,3,mix_1_75_2_25_T60,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,60,45,15,0,0.2679221311351284,0.8333333333333334
analcatdata_boxing1,120,3,mix_1_75_2_25_T100,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,100,75,25,0,0.44653688522521406,0.8666666666666667
analcatdata_boxing1,120,3,mix_1_75_2_25_T200,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,200,150,50,0,0.8930737704504281,0.8666666666666667
analcatdata_boxing1,120,3,mix_1_50_2_50_T20,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,20,10,10,0,0.15858517079614104,0.8666666666666667
analcatdata_boxing1,120,3,mix_1_50_2_50_T40,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,40,20,20,0,0.3171703415922821,0.8666666666666667
analcatdata_boxing1,120,3,mix_1_50_2_50_T60,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,60,30,30,0,0.47575551238842306,0.9
analcatdata_boxing1,120,3,mix_1_50_2_50_T100,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,100,50,50,0,0.7929258539807051,0.8666666666666667
analcatdata_boxing1,120,3,mix_1_50_2_50_T200,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,200,100,100,0,1.5858517079614103,0.9
analcatdata_boxing1,120,3,pure_k2_T20,pure_k2,k=2,6,2.0,20,0,20,0,0.29714075829833747,0.9666666666666667
analcatdata_boxing1,120,3,pure_k2_T40,pure_k2,k=2,6,2.0,40,0,40,0,0.5942815165966749,0.9666666666666667
analcatdata_boxing1,120,3,pure_k2_T60,pure_k2,k=2,6,2.0,60,0,60,0,0.8914222748950124,0.9666666666666667
analcatdata_boxing1,120,3,pure_k2_T100,pure_k2,k=2,6,2.0,100,0,100,0,1.4857037914916873,0.9666666666666667
analcatdata_boxing1,120,3,pure_k2_T200,pure_k2,k=2,6,2.0,200,0,200,0,2.9714075829833746,0.9666666666666667
analcatdata_boxing1,120,3,mix_2_95_3_05_T20,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,20,0,19,1,0.34199010642478245,0.9666666666666667
analcatdata_boxing1,120,3,mix_2_95_3_05_T40,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,40,0,38,2,0.6839802128495649,0.9666666666666667
analcatdata_boxing1,120,3,mix_2_95_3_05_T60,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,60,0,57,3,1.0259703192743472,0.9666666666666667
analcatdata_boxing1,120,3,mix_2_95_3_05_T100,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,100,0,95,5,1.7099505321239121,0.9666666666666667
analcatdata_boxing1,120,3,mix_2_95_3_05_T200,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,200,0,190,10,3.4199010642478243,0.9666666666666667
analcatdata_boxing1,120,3,pure_k3_T20,pure_k3,k=3,8,3.0,20,0,0,20,1.1941277208272367,0.9333333333333333
analcatdata_boxing1,120,3,pure_k3_T40,pure_k3,k=3,8,3.0,40,0,0,40,2.3882554416544735,0.9
analcatdata_boxing1,120,3,pure_k3_T60,pure_k3,k=3,8,3.0,60,0,0,60,3.5823831624817104,0.9333333333333333
analcatdata_boxing1,120,3,pure_k3_T100,pure_k3,k=3,8,3.0,100,0,0,100,5.970638604136184,0.9
analcatdata_boxing1,120,3,pure_k3_T200,pure_k3,k=3,8,3.0,200,0,0,200,11.941277208272368,0.9333333333333333
tae,151,5,pure_k1_T20,pure_k1,k=1,0,1.0,20,20,0,0,0.05184694170020521,0.6052631578947368
tae,151,5,pure_k1_T40,pure_k1,k=1,0,1.0,40,40,0,0,0.10369388340041041,0.6842105263157895
tae,151,5,pure_k1_T60,pure_k1,k=1,0,1.0,60,60,0,0,0.15554082510061562,0.6578947368421053
tae,151,5,pure_k1_T100,pure_k1,k=1,0,1.0,100,100,0,0,0.25923470850102603,0.6578947368421053
tae,151,5,pure_k1_T200,pure_k1,k=1,0,1.0,200,200,0,0,0.5184694170020521,0.631578947368421
tae,151,5,mix_1_95_2_05_T20,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,20,19,1,0,0.10067250711610541,0.631578947368421
tae,151,5,mix_1_95_2_05_T40,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,40,38,2,0,0.20134501423221082,0.6578947368421053
tae,151,5,mix_1_95_2_05_T60,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,60,57,3,0,0.3020175213483162,0.6578947368421053
tae,151,5,mix_1_95_2_05_T100,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,100,95,5,0,0.503362535580527,0.6578947368421053
tae,151,5,mix_1_95_2_05_T200,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,200,190,10,0,1.006725071161054,0.631578947368421
tae,151,5,mix_1_90_2_10_T20,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,20,18,2,0,0.14949807253200562,0.631578947368421
tae,151,5,mix_1_90_2_10_T40,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,40,36,4,0,0.29899614506401123,0.6578947368421053
tae,151,5,mix_1_90_2_10_T60,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,60,54,6,0,0.4484942175960168,0.6578947368421053
tae,151,5,mix_1_90_2_10_T100,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,100,90,10,0,0.747490362660028,0.6578947368421053
tae,151,5,mix_1_90_2_10_T200,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,200,180,20,0,1.494980725320056,0.631578947368421
tae,151,5,mix_1_95_3_05_T20,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,20,19,0,1,1.3474257662845777,0.6578947368421053
tae,151,5,mix_1_95_3_05_T40,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,40,38,0,2,2.6948515325691553,0.6842105263157895
tae,151,5,mix_1_95_3_05_T60,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,60,57,0,3,4.042277298853733,0.6578947368421053
tae,151,5,mix_1_95_3_05_T100,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,100,95,0,5,6.737128831422888,0.631578947368421
tae,151,5,mix_1_95_3_05_T200,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,200,190,0,10,13.474257662845776,0.631578947368421
tae,151,5,mix_1_75_2_25_T20,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,20,15,5,0,0.2959747687797062,0.6052631578947368
tae,151,5,mix_1_75_2_25_T40,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,40,30,10,0,0.5919495375594124,0.6578947368421053
tae,151,5,mix_1_75_2_25_T60,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,60,45,15,0,0.8879243063391187,0.6842105263157895
tae,151,5,mix_1_75_2_25_T100,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,100,75,25,0,1.479873843898531,0.6842105263157895
tae,151,5,mix_1_75_2_25_T200,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,200,150,50,0,2.959747687797062,0.631578947368421
tae,151,5,mix_1_50_2_50_T20,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,20,10,10,0,0.5401025958592072,0.631578947368421
tae,151,5,mix_1_50_2_50_T40,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,40,20,20,0,1.0802051917184143,0.631578947368421
tae,151,5,mix_1_50_2_50_T60,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,60,30,30,0,1.6203077875776217,0.6842105263157895
tae,151,5,mix_1_50_2_50_T100,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,100,50,50,0,2.700512979296036,0.6578947368421053
tae,151,5,mix_1_50_2_50_T200,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,200,100,100,0,5.401025958592072,0.6578947368421053
tae,151,5,pure_k2_T20,pure_k2,k=2,6,2.0,20,0,20,0,1.0283582500182091,0.6578947368421053
tae,151,5,pure_k2_T40,pure_k2,k=2,6,2.0,40,0,40,0,2.0567165000364183,0.6842105263157895
tae,151,5,pure_k2_T60,pure_k2,k=2,6,2.0,60,0,60,0,3.085074750054628,0.6578947368421053
tae,151,5,pure_k2_T100,pure_k2,k=2,6,2.0,100,0,100,0,5.141791250091046,0.6578947368421053
tae,151,5,pure_k2_T200,pure_k2,k=2,6,2.0,200,0,200,0,10.283582500182092,0.6578947368421053
tae,151,5,mix_2_95_3_05_T20,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,20,0,19,1,2.2751115091866816,0.6578947368421053
tae,151,5,mix_2_95_3_05_T40,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,40,0,38,2,4.550223018373363,0.6578947368421053
tae,151,5,mix_2_95_3_05_T60,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,60,0,57,3,6.825334527560044,0.6578947368421053
tae,151,5,mix_2_95_3_05_T100,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,100,0,95,5,11.375557545933408,0.6578947368421053
tae,151,5,mix_2_95_3_05_T200,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,200,0,190,10,22.751115091866815,0.6578947368421053
tae,151,5,pure_k3_T20,pure_k3,k=3,8,3.0,20,0,0,20,25.963423433387653,0.6578947368421053
tae,151,5,pure_k3_T40,pure_k3,k=3,8,3.0,40,0,0,40,51.92684686677531,0.6578947368421053
tae,151,5,pure_k3_T60,pure_k3,k=3,8,3.0,60,0,0,60,77.89027030016295,0.6842105263157895
tae,151,5,pure_k3_T100,pure_k3,k=3,8,3.0,100,0,0,100,129.81711716693826,0.6578947368421053
tae,151,5,pure_k3_T200,pure_k3,k=3,8,3.0,200,0,0,200,259.6342343338765,0.6842105263157895
new_thyroid,215,5,pure_k1_T20,pure_k1,k=1,0,1.0,20,20,0,0,0.06160579160787165,0.9259259259259259
new_thyroid,215,5,pure_k1_T40,pure_k1,k=1,0,1.0,40,40,0,0,0.1232115832157433,0.9259259259259259
new_thyroid,215,5,pure_k1_T60,pure_k1,k=1,0,1.0,60,60,0,0,0.18481737482361496,0.9259259259259259
new_thyroid,215,5,pure_k1_T100,pure_k1,k=1,0,1.0,100,100,0,0,0.30802895803935826,0.9259259259259259
new_thyroid,215,5,pure_k1_T200,pure_k1,k=1,0,1.0,200,200,0,0,0.6160579160787165,0.9259259259259259
new_thyroid,215,5,mix_1_95_2_05_T20,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,20,19,1,0,0.32597037286264824,0.9259259259259259
new_thyroid,215,5,mix_1_95_2_05_T40,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,40,38,2,0,0.6519407457252965,0.9259259259259259
new_thyroid,215,5,mix_1_95_2_05_T60,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,60,57,3,0,0.9779111185879447,0.9259259259259259
new_thyroid,215,5,mix_1_95_2_05_T100,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,100,95,5,0,1.6298518643132411,0.9259259259259259
new_thyroid,215,5,mix_1_95_2_05_T200,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,200,190,10,0,3.2597037286264823,0.9259259259259259
new_thyroid,215,5,mix_1_90_2_10_T20,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,20,18,2,0,0.5903349541174248,0.9259259259259259
new_thyroid,215,5,mix_1_90_2_10_T40,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,40,36,4,0,1.1806699082348495,0.9259259259259259
new_thyroid,215,5,mix_1_90_2_10_T60,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,60,54,6,0,1.7710048623522743,0.9259259259259259
new_thyroid,215,5,mix_1_90_2_10_T100,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,100,90,10,0,2.951674770587124,0.9259259259259259
new_thyroid,215,5,mix_1_90_2_10_T200,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,200,180,20,0,5.903349541174248,0.9259259259259259
new_thyroid,215,5,mix_1_95_3_05_T20,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,20,19,0,1,41.971802897232116,0.9259259259259259
new_thyroid,215,5,mix_1_95_3_05_T40,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,40,38,0,2,83.94360579446423,0.9259259259259259
new_thyroid,215,5,mix_1_95_3_05_T60,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,60,57,0,3,125.91540869169636,0.9259259259259259
new_thyroid,215,5,mix_1_95_3_05_T100,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,100,95,0,5,209.8590144861606,0.9259259259259259
new_thyroid,215,5,mix_1_95_3_05_T200,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,200,190,0,10,419.7180289723212,0.9259259259259259
new_thyroid,215,5,mix_1_75_2_25_T20,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,20,15,5,0,1.3834286978817545,0.9259259259259259
new_thyroid,215,5,mix_1_75_2_25_T40,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,40,30,10,0,2.766857395763509,0.9259259259259259
new_thyroid,215,5,mix_1_75_2_25_T60,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,60,45,15,0,4.1502860936452635,0.9259259259259259
new_thyroid,215,5,mix_1_75_2_25_T100,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,100,75,25,0,6.917143489408772,0.9259259259259259
new_thyroid,215,5,mix_1_75_2_25_T200,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,200,150,50,0,13.834286978817545,0.9259259259259259
new_thyroid,215,5,mix_1_50_2_50_T20,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,20,10,10,0,2.7052516041556376,0.9259259259259259
new_thyroid,215,5,mix_1_50_2_50_T40,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,40,20,20,0,5.410503208311275,0.9259259259259259
new_thyroid,215,5,mix_1_50_2_50_T60,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,60,30,30,0,8.115754812466912,0.9259259259259259
new_thyroid,215,5,mix_1_50_2_50_T100,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,100,50,50,0,13.526258020778187,0.9259259259259259
new_thyroid,215,5,mix_1_50_2_50_T200,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,200,100,100,0,27.052516041556373,0.9259259259259259
new_thyroid,215,5,pure_k2_T20,pure_k2,k=2,6,2.0,20,0,20,0,5.348897416703403,0.9444444444444444
new_thyroid,215,5,pure_k2_T40,pure_k2,k=2,6,2.0,40,0,40,0,10.697794833406807,0.9259259259259259
new_thyroid,215,5,pure_k2_T60,pure_k2,k=2,6,2.0,60,0,60,0,16.04669225011021,0.9259259259259259
new_thyroid,215,5,pure_k2_T100,pure_k2,k=2,6,2.0,100,0,100,0,26.744487083517015,0.9259259259259259
new_thyroid,215,5,pure_k2_T200,pure_k2,k=2,6,2.0,200,0,200,0,53.48897416703403,0.9259259259259259
new_thyroid,215,5,mix_2_95_3_05_T20,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,20,0,19,1,46.99472994107287,0.9444444444444444
new_thyroid,215,5,mix_2_95_3_05_T40,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,40,0,38,2,93.98945988214574,0.9259259259259259
new_thyroid,215,5,mix_2_95_3_05_T60,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,60,0,57,3,140.98418982321863,0.9259259259259259
new_thyroid,215,5,mix_2_95_3_05_T100,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,100,0,95,5,234.97364970536438,0.9259259259259259
new_thyroid,215,5,mix_2_95_3_05_T200,mix_2_95_3_05,k=2.05 (95/5: 2/3),7,2.05,200,0,190,10,469.94729941072876,0.9259259259259259
new_thyroid,215,5,pure_k3_T20,pure_k3,k=3,8,3.0,20,0,0,20,838.2655479040928,0.9444444444444444
new_thyroid,215,5,pure_k3_T40,pure_k3,k=3,8,3.0,40,0,0,40,1676.5310958081857,0.9259259259259259
new_thyroid,215,5,pure_k3_T60,pure_k3,k=3,8,3.0,60,0,0,60,2514.7966437122786,0.9259259259259259
new_thyroid,215,5,pure_k3_T100,pure_k3,k=3,8,3.0,100,0,0,100,4191.327739520464,0.9259259259259259
new_thyroid,215,5,pure_k3_T200,pure_k3,k=3,8,3.0,200,0,0,200,8382.655479040928,0.9259259259259259
appendicitis,106,7,pure_k1_T20,pure_k1,k=1,0,1.0,20,20,0,0,0.06930527091026306,0.7777777777777778
appendicitis,106,7,pure_k1_T40,pure_k1,k=1,0,1.0,40,40,0,0,0.13861054182052612,0.7777777777777778
appendicitis,106,7,pure_k1_T60,pure_k1,k=1,0,1.0,60,60,0,0,0.20791581273078918,0.7777777777777778
appendicitis,106,7,pure_k1_T100,pure_k1,k=1,0,1.0,100,100,0,0,0.3465263545513153,0.7777777777777778
appendicitis,106,7,pure_k1_T200,pure_k1,k=1,0,1.0,200,200,0,0,0.6930527091026306,0.7777777777777778
appendicitis,106,7,mix_1_95_2_05_T20,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,20,19,1,0,0.42294966653455046,0.7777777777777778
appendicitis,106,7,mix_1_95_2_05_T40,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,40,38,2,0,0.8458993330691009,0.7777777777777778
appendicitis,106,7,mix_1_95_2_05_T60,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,60,57,3,0,1.2688489996036514,0.7777777777777778
appendicitis,106,7,mix_1_95_2_05_T100,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,100,95,5,0,2.1147483326727525,0.7777777777777778
appendicitis,106,7,mix_1_95_2_05_T200,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,200,190,10,0,4.229496665345505,0.7777777777777778
appendicitis,106,7,mix_1_90_2_10_T20,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,20,18,2,0,0.776594062158838,0.7777777777777778
appendicitis,106,7,mix_1_90_2_10_T40,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,40,36,4,0,1.553188124317676,0.7777777777777778
appendicitis,106,7,mix_1_90_2_10_T60,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,60,54,6,0,2.3297821864765136,0.7777777777777778
appendicitis,106,7,mix_1_90_2_10_T100,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,100,90,10,0,3.8829703107941897,0.7777777777777778
appendicitis,106,7,mix_1_90_2_10_T200,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,200,180,20,0,7.7659406215883795,0.7777777777777778
appendicitis,106,7,mix_1_95_3_05_T20,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,20,19,0,1,37.10509743819246,0.7777777777777778
appendicitis,106,7,mix_1_95_3_05_T40,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,40,38,0,2,74.21019487638492,0.7777777777777778
appendicitis,106,7,mix_1_95_3_05_T60,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,60,57,0,3,111.31529231457739,0.7777777777777778
appendicitis,106,7,mix_1_95_3_05_T100,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,100,95,0,5,185.5254871909623,0.7777777777777778
appendicitis,106,7,mix_1_95_3_05_T200,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,200,190,0,10,371.0509743819246,0.7777777777777778
appendicitis,106,7,mix_1_75_2_25_T20,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,20,15,5,0,1.8375272490317003,0.7777777777777778
appendicitis,106,7,mix_1_75_2_25_T40,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,40,30,10,0,3.6750544980634006,0.7777777777777778
appendicitis,106,7,mix_1_75_2_25_T60,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,60,45,15,0,5.5125817470951,0.7777777777777778
appendicitis,106,7,mix_1_75_2_25_T100,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,100,75,25,0,9.187636245158501,0.7777777777777778
appendicitis,106,7,mix_1_75_2_25_T200,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,200,150,50,0,18.375272490317002,0.7777777777777778
appendicitis,106,7,mix_1_50_2_50_T20,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,20,10,10,0,3.6057492271531375,0.7777777777777778
appendicitis,106,7,mix_1_50_2_50_T40,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,40,20,20,0,7.211498454306275,0.7777777777777778
appendicitis,106,7,mix_1_50_2_50_T60,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,60,30,30,0,10.817247681459412,0.7777777777777778
appendicitis,106,7,mix_1_50_2_50_T100,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,100,50,50,0,18.028746135765687,0.7777777777777778
appendicitis,106,7,mix_1_50_2_50_T200,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,200,100,100,0,36.05749227153137,0.7777777777777778
