dataset,n_samples,n_features,schedule_id,curve_id,curve_label,display_order,effective_k,tree_count,depth_1_trees,depth_2_trees,depth_3_trees,fit_time_s,accuracy
balance_scale,625,4,pure_k1_T20,pure_k1,k=1,0,1.0,20,20,0,0,0.21998586249537766,0.802547770700637
balance_scale,625,4,pure_k1_T40,pure_k1,k=1,0,1.0,40,40,0,0,0.4399717249907553,0.8343949044585988
balance_scale,625,4,pure_k1_T60,pure_k1,k=1,0,1.0,60,60,0,0,0.659957587486133,0.8343949044585988
balance_scale,625,4,pure_k1_T100,pure_k1,k=1,0,1.0,100,100,0,0,1.0999293124768883,0.8343949044585988
balance_scale,625,4,pure_k1_T200,pure_k1,k=1,0,1.0,200,200,0,0,2.1998586249537766,0.8471337579617835
balance_scale,625,4,mix_1_95_2_05_T20,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,20,19,1,0,0.22861196499550715,0.8089171974522293
balance_scale,625,4,mix_1_95_2_05_T40,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,40,38,2,0,0.4572239299910143,0.8280254777070064
balance_scale,625,4,mix_1_95_2_05_T60,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,60,57,3,0,0.6858358949865214,0.8343949044585988
balance_scale,625,4,mix_1_95_2_05_T100,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,100,95,5,0,1.1430598249775357,0.8471337579617835
balance_scale,625,4,mix_1_95_2_05_T200,mix_1_95_2_05,k=1.05 (95/5: 1/2),1,1.05,200,190,10,0,2.2861196499550713,0.8471337579617835
balance_scale,625,4,mix_1_90_2_10_T20,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,20,18,2,0,0.23723806749563664,0.8089171974522293
balance_scale,625,4,mix_1_90_2_10_T40,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,40,36,4,0,0.4744761349912733,0.8343949044585988
balance_scale,625,4,mix_1_90_2_10_T60,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,60,54,6,0,0.7117142024869099,0.8407643312101911
balance_scale,625,4,mix_1_90_2_10_T100,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,100,90,10,0,1.1861903374781833,0.8343949044585988
balance_scale,625,4,mix_1_90_2_10_T200,mix_1_90_2_10,k=1.10 (90/10: 1/2),2,1.1,200,180,20,0,2.3723806749563665,0.8471337579617835
balance_scale,625,4,mix_1_95_3_05_T20,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,20,19,0,1,0.3053007677057758,0.8089171974522293
balance_scale,625,4,mix_1_95_3_05_T40,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,40,38,0,2,0.6106015354115516,0.8343949044585988
balance_scale,625,4,mix_1_95_3_05_T60,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,60,57,0,3,0.9159023031173275,0.8343949044585988
balance_scale,625,4,mix_1_95_3_05_T100,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,100,95,0,5,1.526503838528879,0.8407643312101911
balance_scale,625,4,mix_1_95_3_05_T200,mix_1_95_3_05,k=1.10 (95/5: 1/3),3,1.1,200,190,0,10,3.053007677057758,0.8471337579617835
balance_scale,625,4,mix_1_75_2_25_T20,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,20,15,5,0,0.26311637499602514,0.821656050955414
balance_scale,625,4,mix_1_75_2_25_T40,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,40,30,10,0,0.5262327499920503,0.8089171974522293
balance_scale,625,4,mix_1_75_2_25_T60,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,60,45,15,0,0.7893491249880753,0.821656050955414
balance_scale,625,4,mix_1_75_2_25_T100,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,100,75,25,0,1.3155818749801256,0.8407643312101911
balance_scale,625,4,mix_1_75_2_25_T200,mix_1_75_2_25,k=1.25 (75/25: 1/2),4,1.25,200,150,50,0,2.631163749960251,0.8471337579617835
balance_scale,625,4,mix_1_50_2_50_T20,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,20,10,10,0,0.30624688749667256,0.802547770700637
balance_scale,625,4,mix_1_50_2_50_T40,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,40,20,20,0,0.6124937749933451,0.8343949044585988
balance_scale,625,4,mix_1_50_2_50_T60,mix_1_50_2_50,k=1.50 (50/50: 1/2),5,1.5,60,30,30,0,0.9187406624900177,0.8407643312101911
