dataset,n_samples,n_features,schedule_id,label,kind,effective_k,depth_1_trees,depth_2_trees,depth_3_trees,n_estimators,fit_time_s,accuracy
confidence,72,3,pure_k1_50,"k=1, T=50",pure_size,1.0,50,0,0,50,0.03296968759968877,0.6666666666666666
confidence,72,3,pure_k1_100,"k=1, T=100",pure_size,1.0,100,0,0,100,0.06593937519937754,0.7222222222222222
confidence,72,3,pure_k2_5,"k=2, T=5",pure_size,2.0,0,5,0,5,0.07533142289612442,0.7222222222222222
confidence,72,3,pure_k2_10,"k=2, T=10",pure_size,2.0,0,10,0,10,0.15066284579224884,0.6666666666666666
confidence,72,3,pure_k2_25,"k=2, T=25",pure_size,2.0,0,25,0,25,0.3766571144806221,0.7777777777777778
confidence,72,3,pure_k2_50,"k=2, T=50",pure_size,2.0,0,50,0,50,0.7533142289612442,0.7777777777777778
confidence,72,3,pure_k2_100,"k=2, T=100",pure_size,2.0,0,100,0,100,1.5066284579224885,0.7777777777777778
confidence,72,3,pure_k3_1,"k=3, T=1",pure_size,3.0,0,0,1,1,0.5913922083564103,0.7777777777777778
confidence,72,3,pure_k3_3,"k=3, T=3",pure_size,3.0,0,0,3,3,1.7741766250692308,0.6111111111111112
confidence,72,3,pure_k3_5,"k=3, T=5",pure_size,3.0,0,0,5,5,2.9569610417820513,0.6666666666666666
confidence,72,3,mix_1_95_2_05,95% k=1 + 5% k=2,mixture,1.05,95,5,0,100,0.1379738293355331,0.7777777777777778
confidence,72,3,mix_1_90_2_10,90% k=1 + 10% k=2,mixture,1.1,90,10,0,100,0.21000828347168862,0.7222222222222222
confidence,72,3,mix_1_75_2_25,75% k=1 + 25% k=2,mixture,1.25,75,25,0,100,0.42611164588015527,0.8333333333333334
confidence,72,3,mix_1_50_2_50,50% k=1 + 50% k=2,mixture,1.5,50,50,0,100,0.786283916560933,0.7777777777777778
confidence,72,3,mix_1_95_3_05,95% k=1 + 5% k=3,mixture,1.1,95,0,5,100,3.01960344822146,0.7222222222222222
confidence,72,3,mix_2_95_3_05,95% k=2 + 5% k=3,mixture,2.05,0,95,5,100,4.388258076808415,0.7777777777777778
analcatdata_asbestos,83,3,pure_k1_5,"k=1, T=5",pure_size,1.0,5,0,0,5,0.003208745806477964,0.7142857142857143
analcatdata_asbestos,83,3,pure_k1_10,"k=1, T=10",pure_size,1.0,10,0,0,10,0.006417491612955928,0.7619047619047619
analcatdata_asbestos,83,3,pure_k1_25,"k=1, T=25",pure_size,1.0,25,0,0,25,0.01604372903238982,0.6666666666666666
analcatdata_asbestos,83,3,pure_k1_50,"k=1, T=50",pure_size,1.0,50,0,0,50,0.03208745806477964,0.6666666666666666
analcatdata_asbestos,83,3,pure_k1_100,"k=1, T=100",pure_size,1.0,100,0,0,100,0.06417491612955928,0.6666666666666666
analcatdata_asbestos,83,3,pure_k2_5,"k=2, T=5",pure_size,2.0,0,5,0,5,0.01687958955299109,0.5238095238095238
analcatdata_asbestos,83,3,pure_k2_10,"k=2, T=10",pure_size,2.0,0,10,0,10,0.03375917910598218,0.6666666666666666
analcatdata_asbestos,83,3,pure_k2_25,"k=2, T=25",pure_size,2.0,0,25,0,25,0.08439794776495546,0.6666666666666666
analcatdata_asbestos,83,3,pure_k2_50,"k=2, T=50",pure_size,2.0,0,50,0,50,0.16879589552991092,0.6666666666666666
analcatdata_asbestos,83,3,pure_k2_100,"k=2, T=100",pure_size,2.0,0,100,0,100,0.33759179105982184,0.6666666666666666
analcatdata_asbestos,83,3,pure_k3_1,"k=3, T=1",pure_size,3.0,0,0,1,1,0.042604233417659995,0.7619047619047619
analcatdata_asbestos,83,3,pure_k3_3,"k=3, T=3",pure_size,3.0,0,0,3,3,0.12781270025298,0.6666666666666666
analcatdata_asbestos,83,3,pure_k3_5,"k=3, T=5",pure_size,3.0,0,0,5,5,0.2130211670883,0.6190476190476191
analcatdata_asbestos,83,3,mix_1_95_2_05,95% k=1 + 5% k=2,mixture,1.05,95,5,0,100,0.0778457598760724,0.6666666666666666
analcatdata_asbestos,83,3,mix_1_90_2_10,90% k=1 + 10% k=2,mixture,1.1,90,10,0,100,0.09151660362258554,0.6666666666666666
analcatdata_asbestos,83,3,mix_1_75_2_25,75% k=1 + 25% k=2,mixture,1.25,75,25,0,100,0.13252913486212492,0.6666666666666666
